product_id;product_name;product_description;product_isbn;product_quantity;product_retail_price;product_price;product_image_small;product_image_medium;product_image_large;product_main_category;product_sub_category_1;product_sub_category_2;product_other_category;product_condition;product_color_choices;product_size_choices;product_other_choices;product_weight;product_length;product_width;product_height;related_products
4;Tea: Caykur Altinbas Black  (Cay: Caykur Altinbas Siyah);Exclusive black tea of Turkish Black Sea Coast. No additives or chemicals are used. (Turk Karadeniz bolgesinden harika bir cay.  Katki maddesi ve kimyasal kullanilmamistir.)<p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.) <p>Weight (Agirlik): 17.5 oz. (500 grams);At-00002;48;3.59;3.49;images/product/Caykur Altinbas Cay -T.jpg;images/product/Caykur Altinbas Cay -Q.jpg;images/product/Caykur Altinbas Cay -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;8.00;0;0;0;2,7,424;
2;Tea: Caykur Rize Tourist Special (Cay: Caykur Rize Turist Spesial);Superb black tea from the Turkish Black Sea Region. No additives or chemicals are used. (Turk Karadeniz bolgesinden harika bir cay.  Katki maddesi ve kimyasal kullanilmamistir.)<p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.) <p>Weight (Agirlik): 17.5 oz. (500 grams);At - 00001;49;3.49;2.89;images/product/Caykur Turist Cayi 500 -T.jpg;images/product/Caykur Turist Cayi 500 -Q.jpg;images/product/Caykur Turist Cayi 500 -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;8.00;0;0;0;8,7,424;
5;Tea: Caykur Filiz The Special - Loose Black Tea  (Cay: Caykur Filiz Spesial);Select tea of Turkish Black Sea Region from Caykur. No additives or chemicals are used. (Turk Karadeniz bolgesinden nefis bir cay.  Katki maddesi ve kimyasal kullanilmamistir.)<p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.) <p>Weight (Agirlik): 17.5 oz. (500 grams);At-00004;49;3.29;2.99;images/product/Caykur Filiz Special Cay -T.jpg;images/product/Caykur Filiz Special Cay -Q.jpg;images/product/Caykur Filiz Special Cay -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;8.00;0;0;0;6,4,424;
6;Tea: Caykur Tea Flower Special (Cay: Caykur Cay Cicegi Spesial);Outstanding black tea from Turkish Black Sea Region. No additives or chemicals are used. (Turk Karadeniz bolgesinden mukemmel bir cay. Katki maddesi ve kimyasal kullanilmamistir.) <p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.) <p>Weight (Agirlik): 17.5 oz. (500 grams);At-00004;50;3.29;2.99;images/product/Caykur Cay Cicegi Cayi -T.jpg;images/product/Caykur Cay Cicegi Cayi -Q.jpg;images/product/Caykur Cay Cicegi Cayi -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;6.00;0;0;0;2,5,424;
7;Tea: Caykur Tomurcuk Earl Gray (Cay: Caykur Tomurcuk);Marvelous Tea from Caykur. This special Caykur Tea produced in Eastern Black Sea Region without any pesticide and chemical additives is being aromatized with 0.5% of natural bergamot essence. (Agiziniza laik bir cay. Dogu Karediniz bolgesinde~ tariminda kimyasal ilac, uretiminde katki maddesi kullanilmayan caylarin %0.5 oraninda dogal bergamut esansi ile kokulandirilmis ozel Caykur cayidir.) <p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.) <p>Weight (Agirlik): 4.4 oz. (125 grams);At-00005;50;2.99;2.69;images/product/Caykur Tomurcuk Earl Gray Tea -T.jpg;images/product/Caykur Tomurcuk Earl Gray Tea -Q.jpg;images/product/Caykur Tomurcuk Earl Gray Tea -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;4.00;0;0;0;5,4,424;
8;Tea: Caykur Altin Black Tea Bags (Cay: Caykur Altin Siyah Suzme Poset);Another outstanding Black tea from Caykur. No additives or chemicals are used. (Caykur'dan harika bir suzme poset cay. Katki maddesi ve kimyasal kullanilmamistir.)<p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.)<p>To make perfect tea (Lezzetli Cay icebileminiz icin): <p>In a cup (Fincanda): Put one tea bag in a cup.  Add fresh boiling water. Leave to infuse for 2-3 minutes. Add sugar, lemon or milk if desired.  (Fincana bir poset koyunuz.  kaynar su doldurunuz. 2-3 dakkika bekletiniz.  Istenirse seker, limon veya sut ilave ediniz.) <p>In a pot (Demlikte): Put in one tea bag for each person.  Add fresh boiling water.  Leave to infuse for 3-4 minutes.  (Kisi basina bir poset koyunuz.  Kaynamis su ilave ediniz. 3-4 dakika bekletiniz.)<p>Weight (Agirlik): 1.98 oz. (56.25 grams);At-00006;50;2.29;1.99;images/product/Caykur Altin Suzme Poset -T.jpg;images/product/Caykur Altin Suzme Poset -Q.jpg;images/product/Caykur Altin Suzme Poset -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;3.00;0;0;0;6,2,5;
9;Tea: Ahmad English Tea Bags (Cay: Ahmad Ingiliz Suzme Poset Cay);Excellent quality 100 tea bags. A blend of exclusive quality teas lightly flavored with Bergamot. Tasteful cup for all occations.  Balance in aroma, color and strength.(Mukemmel kalitede 100 suzme poset cay. Hafif Beramut esansi ile kokulandirilmis ozel karisim. Aroma, renk ve guc ile dengelenmistir.)<p>Ingredients (Icindekiler):  Black Tea. (Siyah Cay.)<p>Weight (Agirlik): 7 oz. (200 grams);At-00007;50;4.49;4.39;images/product/Ahmad Tea 100 -T.jpg;images/product/Ahmad Tea 100 -Q.jpg;images/product/Ahmad Tea 100 -Q.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;5.00;0;0;0;248,8,18;
10;Tea: Natursan Apple Tea Bags (Cay: Natursan Elma Suzme Poset Cay);Unique apple tea from Natursan. Caffeine Free. (Natursan'dan guzel bir cay. Kafeinsiz.)<p>Ingredients (Icindekiler):  Apple Tea (Elma Cay). <p>Nutrition Facts per Serving (Besin Ogeleri):<p>Cholesterol (Kolesterol): 0%<p>Weight (Agirlik): 1.4 oz. (40 grams);At-00008;0;3.29;2.99;images/product/Natursan Elma Cayi -T.jpg;images/product/Natursan Elma Cayi -Q.jpg;images/product/Natursan Elma Cayi -Q.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;3.00;0;0;0;316,288,147;
11;Tea: Dogadan Chamomile Herbal Tea Bags (Cay: Dogadan Papatya Poset Cay);Faboulus taste in a 20 Tea Bags. No chemicals or additivies are used. (Harika tat 20 suzen poset icinde.  Hicbir kimyasal ve boyar madde kullanilmamistir.)<p>Ingredients (Icindekiler):  Camomile. (Papatya Cicegi.)<p>Weight (Agirlik): 1.4 oz. (40 grams);At-00009;50;2.95;2.39;images/product/Dogadan Papatya Bitkisel Cay -T.jpg;images/product/Dogadan Papatya Bitkisel Cay -Q.jpg;images/product/Dogadan Papatya Bitkisel Cay -Z.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;2.00;0;0;0;10,168,139;
12;Tea: Dogadan Green Tea Bags (Cay: Dogadan Yesil Suzen Poset Cay);Faboulus taste in a 20 Tea Bags. (Harika tat 20 suzen poset icinde.)<p>Chinese people have consumed green tea for thousand of years.  In contrast to black tea, fermantation is intentionaly avoided during the production of green tea.  The natural contituents and also the greenish yellow color are largely preserved in this manner. (Yesil Cay, Cinlilerin binlerce yildan beri kullandiklari geleneksel bir cay cesididir.  Yumsak icimli ve daha az buruktur.  Siyah cay'dan farkli olarak fermantasyon yapilmadan islenmesi, kendine ozgu yesilimsi sari rengini ve dogal bilesenlerini korumasini saglar.)<p>Ingredients(Icindekiler):  Green Tea Bitkisel. Yesil Cay.)<p>Directions(Kullanilisi): Use one bag per cup.  Allow freshly boiled water to cool for a short time.  Leave to infuse for about 3 minutes. (Suzen poseti fincan icine daldir.  Taze kaynamis su bir sure bekletildikten sonra fincan'a dokulur.  Yaklasik 3 dakika demlemeye birakilir.)<p>Weight: 1.23 oz. (35 grams);At-00010;49;2.95;2.39;images/product/Dogadan_Yesil_Cay_Poset_35gr-T.jpg;images/product/Dogadan_Yesil_Cay_Poset_35gr-Q.jpg;images/product/Dogadan_Yesil_Cay_Poset_35gr-Q.jpg;Tea (Cay);;;Express Checkout (Hizli Alisveris),Express-Tea (Çay),By Product Category (Urun Tipine Gore);New;;;;2.00;0;0;0;17,139,309;
